Experiment,Accuracy,Precision,Recall,F1-score,ROC-AUC
centralised_iid,0.8720980223559759,0.9014361300075586,0.9172435009998462,0.909271119243672,0.9136805045992265
centralised_noniid,0.8756448839208942,0.8998802753666567,0.9249346254422396,0.9122354547523326,0.913672492439622
fedavg_iid,0.8834909716251075,0.8821786369408776,0.9616982002768804,0.9202237268177804,0.916618387917268
fedavg_noniid,0.8809114359415305,0.8830799829521239,0.9561605906783572,0.9181683899556868,0.9151431078717108
fedprox_noniid,0.8826311263972485,0.8823695744380037,0.960006152899554,0.9195520848681302,0.9141789871455877
