Round,Loss,Accuracy
1,0.31528161962827045,0.8717672824859619
2,0.3122866451740265,0.8729374607404073
3,0.31062119205792743,0.8744578162829081
4,0.30981377760569256,0.8741468985875448
5,0.3094618221124013,0.8735137581825256
6,0.30822757879892987,0.8750267624855042
7,0.30801981687545776,0.8744393587112427
8,0.3073805570602417,0.8751122355461121
9,0.3073773483435313,0.8748854994773865
10,0.3070694108804067,0.8755905628204346
11,0.3070182303587596,0.8754747112592062
12,0.3062874774138133,0.8753611842791239
13,0.30626556277275085,0.8758819897969564
14,0.3062637348969777,0.8750984072685242
15,0.3057798544565837,0.8761725823084513
16,0.3052869240442912,0.876908540725708
17,0.3055955767631531,0.876450757185618
18,0.3054860234260559,0.8768788576126099
19,0.3056311309337616,0.8768441677093506
20,0.3049030701319377,0.8765127460161845
