Round,Loss,Accuracy
1,0.31459900736808777,0.8738851348559061
2,0.3125722308953603,0.8749591906865438
3,0.31097015738487244,0.8747791449228922
4,0.30967584252357483,0.8747092882792155
5,0.30892006556193036,0.8750749627749125
6,0.30760438243548077,0.8754071791966757
7,0.3072727421919505,0.8749085267384847
8,0.30699460705121356,0.8762284517288208
9,0.3060672680536906,0.8760095040003458
10,0.30592313408851624,0.8752482930819193
11,0.3057687481244405,0.8754408756891886
12,0.3053647180398305,0.8759639660517374
13,0.3052217165629069,0.8758439222971598
14,0.30538549025853473,0.8752058347066244
15,0.3050989806652069,0.8753283818562826
16,0.30540144443511963,0.8751964767773946
17,0.3045913279056549,0.8755353291829427
18,0.3049261470635732,0.8749541441599528
19,0.30449365576108295,0.8754162391026815
20,0.30483094851175946,0.8753537138303121
