Round,Loss,Accuracy
1,0.30060789982477826,0.881986141204834
2,0.2978186309337616,0.8822010556856791
3,0.29650675257047016,0.8830340504646301
4,0.295311172803243,0.8830340703328451
5,0.2946176628271739,0.8830072085062662
6,0.2936040759086609,0.8837864001592001
7,0.2932296693325043,0.8837057948112488
8,0.2925151785214742,0.8833296100298563
9,0.29209645589192706,0.8836789727210999
10,0.29185205698013306,0.8833833734194437
11,0.2912208636601766,0.8842700719833374
12,0.2908128499984741,0.8844581445058187
13,0.29116712013880414,0.8845656315485636
14,0.2905768156051636,0.8846999804178873
15,0.2901151478290558,0.8848880728085836
16,0.2898092170556386,0.8842969338099161
17,0.2896260619163513,0.8847806255022684
18,0.2892991801102956,0.8847806255022684
19,0.28934987386067706,0.8846731384595236
20,0.2891232967376709,0.8851836721102396
